,angle,curLapTime,distFromStart,distRaced,rpm,speedX,speedY,speedZ,steer,totalDistFromStart,trackPos
117,-0.00239261,16.866,304.262,404.266,5510.84,129.689,0.452483,0.601922,-0.0009163041678214917,304.262,-0.0669961
118,-0.00257077,16.664,297.011,397.016,5451.14,128.734,0.443444,0.630484,-0.0009052550610464958,297.011,-0.0727776
119,-0.00279459,16.462,289.814,389.818,5423.92,127.811,0.420996,0.566646,-0.001036896248303009,289.814,-0.0785856
12,-0.00128412,38.016,1041.27,1141.27,5687.74,106.208,1.00584,2.77859,0.10536951908953698,1041.27,-1.09457
120,-0.00269471,16.26,282.667,382.671,5379.71,126.926,0.366872,0.881284,-0.00016744833398265983,282.667,-0.0841008
121,-0.00414251,16.058,275.568,375.573,5334.78,126.086,0.29488,0.872389,-0.004196128866151281,275.568,-0.0898989
122,-0.00407139,15.858,268.585,368.59,5279.78,125.309,0.291052,0.917711,-0.0033718968750973827,268.585,-0.0958774
123,-0.00300181,15.658,261.646,361.65,5283.17,124.53,0.322335,1.04881,0.0005788420055469826,261.646,-0.101339
124,-0.00201151,15.458,254.747,354.751,5221.13,123.826,0.340721,1.15029,0.004198764808424854,254.747,-0.106016
125,-0.00335277,15.258,247.887,347.891,5194.43,123.153,0.285791,1.02921,0.00041560162899642594,247.887,-0.110878
126,-0.00311171,15.058,241.064,341.068,5187.15,122.496,0.241899,1.08632,0.0016732194406310196,241.064,-0.115781
127,-0.00369804,14.858,234.275,334.279,5154.34,121.892,0.203377,1.1048,0.00028037308496972266,234.275,-0.120516
128,-0.00379063,14.658,227.519,327.523,5126.02,121.325,0.188909,1.07568,0.00046514996135217125,227.519,-0.125311
129,-0.00375615,14.458,220.794,320.798,5110.73,120.788,0.158047,0.952513,0.001043503210108333,220.794,-0.129997
13,-0.0777519,37.816,1035.36,1135.36,5715.83,106.639,-3.21539,2.20903,-0.13505298439571842,1035.36,-1.12439
130,-0.00449244,14.258,214.097,314.102,5089.54,120.284,0.132978,0.984944,-0.0008261806508741455,214.097,-0.134737
131,-0.00448584,14.058,207.428,307.432,5076.61,119.812,0.0980349,0.913338,-0.00031937219838601427,207.428,-0.139595
132,-0.00410582,13.858,200.783,300.787,5041.97,119.388,0.0989973,0.845619,0.0013370690310895474,200.783,-0.144063
133,-0.00530393,13.658,194.162,294.166,5024.42,118.982,0.04353,0.855732,-0.002000333546266813,194.162,-0.148826
134,-0.00462502,13.458,187.562,287.566,5026.16,118.603,0.0355505,0.614069,0.0006223041020234146,187.562,-0.153442
135,-0.00615346,13.258,180.981,280.986,5054.11,118.237,-0.0254828,0.494178,-0.003756971522363796,180.981,-0.158301
136,-0.00531219,13.058,174.441,274.445,4955.89,117.216,0.0198147,0.538449,-0.0005908259428655978,174.441,-0.163184
